At i = 1:
[6565   20 4715   46]
[4741 2726 5247 4880]
[6334 1045   20 3531]
[3404 3034 6468 3524]
[3152  634 5638 7590]
[7560   46   20 5076]
[ 837 2373 4477 2105]
[3360 3923  482 3239]
[ 286 6867 5160 5459]
[3860 6732  599 1653]
[2209 7590 4987  599]
[5156 3227 5126 2442]
[4220 7428 3485 6583]
[4633 7428 5907 5992]
[1761 6018  775 3034]
[3092 4881 2741 2822]
[7562 3531 4715 5916]
[1479 3524 4750  917]
[2853 4987 4477 6568]
[1969 5076 5063  599]
[1318  634 1784 3059]
[1686 2726 1062 5459]
[5525 4881 6583 7590]
[3864 5076  343 4715]
[4049 3531 6980  599]
[5389 1045 6032   72]
[4849 2822 5459 7590]
[1750 5994 3106 3524]
[3163 5436 2442 6583]
[ 609 4127  273 4580]
[1337  482 4855 7590]
[7498 5076 3531   46]
[ 356 3071 5845 3034]
[2643 2714 4364 1045]
[5001 7590 3655  346]
[5474 5992 5137 6568]
[3308  482 4181 5992]
[6092 3746 3239 6583]
[1556 1653 1177 6180]
[4841 5076 2105  475]
[1754 1045 4898 3034]
[2663 5658  298  522]
At i = 21:
[5162 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 4477 3485]
[1633 5845 3485 4477]
[5903 5845 4477 3485]
[3437 5845 4477 3485]
[2029 5845 3485 4477]
[1648 5845 3485 4477]
[1697 5845 3485 4477]
[5711 5845 4477 3485]
[4296 5845 3485 4477]
[4296 5845 4477 3485]
[3628 5845 4477 3485]
[4513 5845 4477 3485]
[5650 5845 4477 3485]
[5650 5845 3485 4477]
[7293 5845 3485 4477]
[5378 5845 3485 4477]
[2314 5845 3485 4477]
[7004 5845 4477 3485]
[3196 5845 3485 4477]
[3124 5845 3485 4477]
[5188 5845 4477 3485]
[4517 5845 4477 3485]
[4517 5845 3485 4477]
[4782 5845 3485 4477]
[4782 5845 4477 3485]
[5310 5845 4477 3485]
[3653 5845 4477 3485]
[3653 5845 4477 3485]
[3543 5845 3485 4477]
[3404 5845 3485 4477]
[1309 5845 3485 4477]
[5351 5845 4477 3485]
[7042 5845 3485 4477]
[7228 5845 4477 3485]
[5422 5845 4477 3485]
[5422 5845 3485 4477]
[4776 5845 3485 4477]
[6655 5845 3485 4477]
[5904 5845 3485 4477]
[5466 5845 4477 3485]
At i = 41:
[5162 5845 3485 4477]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[4232 5845 3485 4477]
[4232 5845 4477 3485]
[6485 5845 4477 3485]
[1633 5845 3485 4477]
[5903 5845 3485 4477]
[5903 5845 4477 3485]
[3437 5845 3485 4477]
[3437 5845 4477 3485]
[3437 5845 3485 4477]
[3437 5845 4477 3485]
[3678 5845 3485 4477]
[3678 5845 4477 3485]
[3678 5845 3485 4477]
[2029 5845 3485 4477]
[2029 5845 4477 3485]
[1648 5845 4477 3485]
[1648 5845 3485 4477]
[1648 5845 3485 4477]
[ 635 5845 4477 3485]
[5332 5845 4477 3485]
[5332 5845 3485 4477]
[5332 5845 4477 3485]
[5332 5845 3485 4477]
[5332 5845 4477 3485]
[5332 5845 4477 3485]
[5332 5845 3485 4477]
[5332 5845 3485 4477]
[6997 5845 3485 4477]
[2069 5845 4477 3485]
[2069 5845 4477 3485]
[6336 5845 4477 3485]
[6336 5845 3485 4477]
[4541 5845 3485 4477]
[4541 5845 3485 4477]
[4734 5845 4477 3485]
[4734 5845 4477 3485]
[1527 5845 3485 4477]
[5156 5845 4477 3485]
[1776 5845 4477 3485]
At i = 61:
[5162 5845 3485 4477]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[4232 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 4477 3485]
[6485 5845 3485 4477]
[6485 5845 3485 4477]
[6485 5845 4477 3485]
[1633 5845 3485 4477]
[4026 5845 3485 4477]
[5903 5845 4477 3485]
[5903 5845 3485 4477]
[5903 5845 4477 3485]
[3437 5845 3485 4477]
[3437 5845 3485 4477]
[3437 5845 4477 3485]
[3437 5845 3485 4477]
[3437 5845 4477 3485]
[3678 5845 3485 4477]
[3678 5845 4477 3485]
[3678 5845 3485 4477]
[2029 5845 3485 4477]
[2029 5845 3485 4477]
[2029 5845 4477 3485]
[2029 5845 4477 3485]
[2029 5845 4477 3485]
[1648 5845 4477 3485]
[1648 5845 4477 3485]
[1648 5845 4477 3485]
[1648 5845 4477 3485]
[1648 5845 3485 4477]
[1648 5845 3485 4477]
[4763 5845 4477 3485]
[4763 5845 4477 3485]
[ 635 5845 4477 3485]
[ 635 5845 4477 3485]
[3471 5845 3485 4477]
[3471 5845 3485 4477]
[5736 5845 3485 4477]
[4541 5845 4477 3485]
At i = 81:
[5162 5845 3485 4477]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[4232 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 3485 4477]
[6485 5845 3485 4477]
[6485 5845 3485 4477]
[6485 5845 4477 3485]
[1633 5845 4477 3485]
[1633 5845 3485 4477]
[4026 5845 4477 3485]
[4026 5845 4477 3485]
[4026 5845 4477 3485]
[4026 5845 4477 3485]
[4026 5845 3485 4477]
[5903 5845 4477 3485]
[5903 5845 4477 3485]
[5903 5845 3485 4477]
[5903 5845 4477 3485]
[5903 5845 4477 3485]
[5903 5845 4477 3485]
[5903 5845 4477 3485]
[5903 5845 3485 4477]
[5903 5845 4477 3485]
[3437 5845 3485 4477]
[3437 5845 3485 4477]
[3437 5845 4477 3485]
[3437 5845 3485 4477]
[3437 5845 4477 3485]
[3678 5845 4477 3485]
[3678 5845 4477 3485]
[3678 5845 4477 3485]
At i = 101:
[5162 5845 3485 4477]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
[4232 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 3485 4477]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[4232 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 3485 4477]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 4477 3485]
[6485 5845 3485 4477]
At i = 121:
[5162 5845 3485 4477]
[5162 5845 3485 4477]
[5162 5845 3485 4477]
[5162 5845 3485 4477]
[5162 5845 3485 4477]
[5162 5845 3485 4477]
[5162 5845 4477 3485]
[5162 5845 4477 3485]
